 1 7.18281828459045e-01 3.59140914229523e-01
 2 2.18281828459045e-01 8.73127313836180e-02
 3 5.16151617923786e-02 1.93556856721420e-02
 4 9.94849512571161e-03 3.67329050795506e-03
 5 1.61516179237831e-03 5.94538083084039e-04
 6 2.26272903489644e-04 8.32480789537780e-05
 7 2.78602050767240e-05 1.02493017216561e-05
 8 3.05861777549765e-06 1.12520386408943e-06
 9 3.02885852843104e-07 1.11425490698296e-07
10 2.73126605776497e-08 1.00477664111687e-08
11 2.26055218988108e-09 8.31610677043909e-10
12 1.72876379878062e-10 6.35976660253281e-11
13 1.22861720797118e-11 4.51983011884100e-12
14 8.15347789284715e-13 2.99949689082522e-13
15 5.06261699229071e-14 1.86243270998899e-14
